,starttime,stoptime,start station id,end station id
274,9/1/2015 00:50:10,9/1/2015 01:06:50,346,238
275,9/1/2015 00:50:25,9/1/2015 08:08:52,3105,521
276,9/1/2015 00:50:52,9/1/2015 00:57:39,482,489
277,9/1/2015 00:50:54,9/1/2015 01:01:57,358,268
278,9/1/2015 00:50:58,9/1/2015 00:56:11,161,496
279,9/1/2015 00:51:08,9/1/2015 01:01:28,453,453
280,9/1/2015 00:51:31,9/1/2015 01:14:05,500,445
281,9/1/2015 00:51:46,9/1/2015 00:57:50,331,311
282,9/1/2015 00:51:54,9/1/2015 00:53:45,512,489
283,9/1/2015 00:51:57,9/1/2015 01:01:14,229,302
284,9/1/2015 00:52:05,9/1/2015 00:57:29,285,369
285,9/1/2015 00:52:39,9/1/2015 01:06:00,410,540
286,9/1/2015 00:52:41,9/1/2015 00:55:30,224,309
287,9/1/2015 00:52:42,9/1/2015 01:18:17,446,3130
288,9/1/2015 00:52:49,9/1/2015 01:09:01,251,539
289,9/1/2015 00:53:18,9/1/2015 01:00:44,380,293
290,9/1/2015 00:53:21,9/1/2015 01:01:02,367,527
291,9/1/2015 00:54:06,9/1/2015 01:00:55,401,151
292,9/1/2015 00:54:22,9/1/2015 01:05:49,151,487
293,9/1/2015 00:55:39,9/1/2015 01:02:43,432,361
294,9/1/2015 00:55:43,9/1/2015 01:06:31,116,472
295,9/1/2015 00:56:17,9/1/2015 01:10:54,498,301
296,9/1/2015 00:56:26,9/1/2015 01:10:50,470,478
297,9/1/2015 00:56:35,9/1/2015 01:00:39,401,151
298,9/1/2015 00:56:53,9/1/2015 01:07:55,293,507
299,9/1/2015 00:57:09,9/1/2015 01:11:31,380,427
300,9/1/2015 00:57:38,9/1/2015 01:06:07,72,388
301,9/1/2015 00:58:13,9/1/2015 01:01:43,161,382
302,9/1/2015 00:58:23,9/1/2015 01:03:22,531,229
303,9/1/2015 00:58:24,9/1/2015 01:03:12,476,505
304,9/1/2015 00:58:33,9/1/2015 01:13:59,2012,325
305,9/1/2015 00:58:37,9/1/2015 01:13:29,2012,325
306,9/1/2015 00:58:38,9/1/2015 01:14:10,2012,325
307,9/1/2015 00:58:41,9/1/2015 01:02:04,3094,3102
308,9/1/2015 00:58:54,9/1/2015 01:01:29,352,281
309,9/1/2015 00:59:03,9/1/2015 01:02:40,386,316
310,9/1/2015 00:59:08,9/1/2015 01:08:57,379,536
311,9/1/2015 00:59:17,9/1/2015 01:21:26,435,2004
312,9/1/2015 00:59:56,9/1/2015 01:01:48,293,483
313,9/1/2015 01:00:04,9/1/2015 01:08:03,496,293
314,9/1/2015 01:00:27,9/1/2015 01:10:48,253,489
315,9/1/2015 01:00:30,9/1/2015 01:14:19,3222,3044
316,9/1/2015 01:00:34,9/1/2015 01:15:09,2008,358
317,9/1/2015 01:00:45,9/1/2015 01:04:19,529,478
318,9/1/2015 01:02:17,9/1/2015 01:17:41,457,528
319,9/1/2015 01:02:48,9/1/2015 01:07:15,479,480
320,9/1/2015 01:02:51,9/1/2015 01:17:16,236,379
321,9/1/2015 01:03:04,9/1/2015 01:10:37,376,304
322,9/1/2015 01:03:14,9/1/2015 01:10:14,376,304
323,9/1/2015 01:03:28,9/1/2015 01:05:49,324,241
324,9/1/2015 01:04:16,9/1/2015 01:12:22,498,488
325,9/1/2015 01:04:24,9/1/2015 01:10:36,423,173
326,9/1/2015 01:04:23,9/1/2015 01:10:49,423,173
327,9/1/2015 01:04:33,9/1/2015 01:06:42,348,161
328,9/1/2015 01:04:47,9/1/2015 01:12:31,519,498
329,9/1/2015 01:04:49,9/1/2015 01:16:56,306,328
330,9/1/2015 01:04:52,9/1/2015 01:17:00,306,328
331,9/1/2015 01:04:55,9/1/2015 01:12:59,498,488
332,9/1/2015 01:04:56,9/1/2015 01:09:15,3086,3094
333,9/1/2015 01:04:59,9/1/2015 01:11:28,463,489
334,9/1/2015 01:04:58,9/1/2015 01:25:43,2003,3070
335,9/1/2015 01:05:40,9/1/2015 01:32:49,368,268
336,9/1/2015 01:05:41,9/1/2015 01:15:00,3224,335
337,9/1/2015 01:05:45,9/1/2015 01:16:46,529,518
338,9/1/2015 01:05:53,9/1/2015 01:14:58,3224,335
339,9/1/2015 01:06:04,9/1/2015 01:15:43,526,450
340,9/1/2015 01:06:06,9/1/2015 01:21:10,528,3158
341,9/1/2015 01:06:18,9/1/2015 01:41:59,476,3090
342,9/1/2015 01:06:23,9/1/2015 01:07:35,316,376
343,9/1/2015 01:06:36,9/1/2015 01:09:41,497,168
344,9/1/2015 01:06:53,9/1/2015 01:18:48,300,518
345,9/1/2015 01:06:59,9/1/2015 01:18:51,405,309
346,9/1/2015 01:07:32,9/1/2015 01:21:56,346,325
347,9/1/2015 01:07:39,9/1/2015 01:16:44,537,300
348,9/1/2015 01:08:54,9/1/2015 01:16:56,331,279
349,9/1/2015 01:09:03,9/1/2015 01:16:29,382,432
350,9/1/2015 01:09:17,9/1/2015 01:16:07,504,511
351,9/1/2015 01:09:27,9/1/2015 01:24:51,137,507
352,9/1/2015 01:09:56,9/1/2015 01:15:02,486,379
353,9/1/2015 01:11:27,9/1/2015 01:20:04,393,483
354,9/1/2015 01:12:01,9/1/2015 01:22:21,334,529
355,9/1/2015 01:13:09,9/1/2015 01:21:55,468,515
356,9/1/2015 01:13:13,9/1/2015 01:22:47,521,212
